business_status,formatted_address,name,place_id,store,zipcode,lat,lng,average income
OPERATIONAL,"1112 Nashville Pike, Gallatin, TN 37066, United States",Walmart Supercenter,ChIJi-zlVHI6ZIgRJQQ9OPNlGBc,Walmart,37066,36.3769631,-86.47590079999999,
OPERATIONAL,"2317 Dickerson Pike, Nashville, TN 37207, United States",Piggly Wiggly,ChIJM3OiQKVnZIgRxiZuRvmGZxg,Piggly Wiggly,37207,36.20773510000001,-86.7671005,42973.0
OPERATIONAL,"933 Visco Dr, Nashville, TN 37210, United States",Music City Food Service,ChIJgaCA5A1pZIgRvGsWw3pCsio,Food City,37210,36.158455,-86.7406458,36283.0
OPERATIONAL,"845 Briley Pkwy, Nashville, TN 37217, United States",Dollar City,ChIJCZJgdDBpZIgRjfgVOfmC7rg,Food City,37217,36.1365691,-86.699877,49103.0
OPERATIONAL,"2416 Music Valley Dr, Nashville, TN 37214, United States",Music City Bar & Grill,ChIJ5z5IuXhCZIgRdoy6N1pOl0A,Food City,37214,36.2188699,-86.6980784,61558.0
OPERATIONAL,"615 Gallatin Ave, Nashville, TN 37206, United States",ALDI,ChIJgRoqI9FnZIgRK-JHS7MI0qE,Aldi,37206,36.1832883,-86.7475518,59203.0
OPERATIONAL,"3758 Nolensville Pk, Nashville, TN 37211, United States",ALDI,ChIJoSu6FHhvZIgRGz2lttteRpI,Aldi,37211,36.0902874,-86.73231439999999,56748.0
OPERATIONAL,"1911 Ransom Pl, Nashville, TN 37217, United States",ALDI,ChIJnyo4hDJsZIgRDeqlFUi540s,Aldi,37217,36.088124,-86.6508077,49103.0
OPERATIONAL,"405 American Rd, Nashville, TN 37209, United States",ALDI,ChIJ75kruY9hZIgRaMHuKhEG7vw,Aldi,37209,36.1449709,-86.87402089999999,54461.0
OPERATIONAL,"7035 Hwy 70 S, Nashville, TN 37221, United States",ALDI,ChIJL5TLbDyIZIgRmMNsrNdZ4Mo,Aldi,37221,36.0750427,-86.917644,83331.0
OPERATIONAL,"1510 Branch St, Nashville, TN 37206, United States",Dollar General,ChIJsTzcfWtoZIgR67cqlCCkvqQ,Dollar General,37206,36.1943879,-86.7264153,59203.0
OPERATIONAL,"3006 Gallatin Pike, Nashville, TN 37216, United States",Dollar General,ChIJb3FUfgloZIgRlX4Amllks78,Dollar General,37216,36.203605,-86.7379327,61641.0
OPERATIONAL,"601 Gallatin Ave, Nashville, TN 37206, United States",Dollar General,ChIJ53VjdtFnZIgR1SxHxLoeKvw,Dollar General,37206,36.1828233,-86.7474125,59203.0
OPERATIONAL,"2403 Lebanon Pike, Nashville, TN 37214, United States",Dollar General,ChIJCRpHWwtpZIgRcXzghX2o5Go,Dollar General,37214,36.168529,-86.68180369999999,61558.0
